"rep","cell","pen","S_unc","S_dec","S_edge","tr","p_unc","p_R0","p_R2","pe_unc","pe_R0","pe_R2","nb","nbt"
290,"B_p100","gridge",56.5706349687905,5.19616235827314,1.08096414561793,6.15559505288453,0,0.56344837852293,0.325470066895588,0,0.524691315807535,0.372121608597166,0.194409721773281,2.75283945328589
291,"B_p100","gridge",40.414636875237,3.18069404953478,0.321572597575197,6.00502895041063,1.48321965820486e-09,0.835772334055809,0.704192750180458,0,0.822050582251701,0.748178604370303,0.185504686708052,2.12014879813321
292,"B_p100","gridge",45.6411072504243,6.30006321865239,2.13121379030455,5.96401469906251,0,0.390124788909847,0.173825971364263,0,0.256091597888755,0.147493383527084,0.177427039611632,2.63634180226011
293,"B_p100","gridge",49.81056246522,4.25882798755482,2.43989575883367,6.15593545453887,0,0.699346377601966,0.483424485457098,0,0.227155808227624,0.113510742820252,0.208917991785782,2.36140574460423
294,"B_p100","gridge",54.7561190434455,9.29789184640933,4.23332882444061,6.08836044080777,0,0.14131247212937,0.0337950134924021,0,0.0633595011621996,0.0159914423849578,0.215391481160583,2.41974153306829
295,"B_p100","gridge",41.2661180089157,7.68642879669528,0.266860794396378,6.09217576557755,0,0.257984438388994,0.091473821894667,0,0.85261472406599,0.784344577211324,0.187943004553836,2.55245466514073
296,"B_p100","gridge",39.4228565293719,5.42722636207991,0.937533731497148,6.0730337868591,1.21409609032952e-08,0.520444304438589,0.309975966516941,0,0.549178292345755,0.418911833765603,0.191471604527527,2.2806288519763
297,"B_p100","gridge",38.7224274717505,7.68164208212947,0.875149044473097,5.83693314548137,3.36976935244593e-09,0.229294307413334,0.0821214215525055,0,0.563250745025517,0.432532439339832,0.172839796075306,2.40236353933454
298,"B_p100","gridge",43.7245876091348,3.47969223029334,0.570350293623875,5.91974610153738,4.95095110464305e-08,0.789197656955754,0.611318666624896,0,0.686334689403057,0.570390973448386,0.209303231852589,2.53063664876387
299,"B_p100","gridge",38.4077656171026,2.42745822748268,0.555669833242129,6.06740305643874,2.61375965315835e-08,0.922478769077258,0.842865592709214,0,0.714791707899161,0.6208387412939,0.181326561704696,2.41453440933
300,"B_p100","gridge",37.5555112878195,3.68618995688611,1.0242956099021,6.05632827161603,4.63767710900953e-08,0.772826326032551,0.581811215162827,0,0.522472112403797,0.375520035412993,0.193859963896709,2.48606065263284
1,"B_p100","firth",23.844819079265,11.9588869205439,7.61335883027536,5.85969132894252,0.000110104949600065,0.0396209653451531,0.00178715055461653,1.95406815173271e-06,0.00704517820738304,6.97980137325249e-05,4.06665473602081,5.5439648054
2,"B_p100","firth",20.1458488999161,7.30810985134942,2.01566922040018,5.99608724180562,0.000870474944782984,0.282407572121348,0.062470144883324,6.32698853005875e-05,0.264613339112273,0.0866009119275054,3.72125810882433,5.09097365362946
3,"B_p100","firth",16.7057582216635,3.84578996530522,2.15174642665602,5.90433406187168,0.00436299292178732,0.732389275077775,0.451342212979562,5.55703509226291e-05,0.245514083281353,0.0726715289119438,4.27424070794853,5.80313840442709
4,"B_p100","firth",18.9259202674061,7.96886778944524,1.44457743712,6.06312458155757,0.00172609190466833,0.230496515658644,0.0703083794181691,0.000343684283528045,0.403654954878702,0.212788165359027,3.30558866822346,4.42655190037737
5,"B_p100","firth",26.3037749456876,15.6732258345611,3.29021788432859,5.85507115230982,2.82816422341181e-05,0.0068008736199523,0.000151819149160071,0.000132286788032232,0.128879204386787,0.0235781300462408,3.33075619614496,4.50171094486481
6,"B_p100","firth",15.3638003747414,6.71147424923926,0.316755920577606,5.98804663848278,0.00880278703486381,0.344364966053418,0.163412800596586,0.00278592707730452,0.82737727620349,0.736753574438566,3.29092609507467,4.36945900262995
7,"B_p100","firth",19.4037799355255,5.84283603806564,0.988902713667445,6.17945425835947,0.00169775855146492,0.475207032323567,0.135340815571751,7.83849796468505e-05,0.537325195875552,0.259327062138309,4.37559356906197,6.03360829293976
8,"B_p100","firth",15.6979732417764,4.67133010255824,2.257847962057,5.9812339757326,0.00755453177018861,0.617929344222969,0.383294732959415,0.000184218987002716,0.237995294910191,0.0960445032375847,3.09465225763103,4.13061209515151
9,"B_p100","firth",21.1503392488505,9.10280095583519,1.93971798976153,6.03635417829843,0.000594493973414822,0.149405206656107,0.0181958860851821,0.000114463541610377,0.300633052768318,0.0969352121199079,3.8120964409603,5.2128167205455
10,"B_p100","firth",15.4163309647013,2.29955942288184,0.592203539464806,5.94861726694231,0.0084303141420814,0.928210480080863,0.789693133363991,0.000121650988239685,0.690063882896336,0.508299136002906,3.41204617194636,4.65934191670312
