"rep","cell","a_hat","a_or","s_hat","s_or","rho_hat","rho_or"
43,"B_k25",0.439100682454004,0.422669454389668,0.366941609755832,0.385753919782695,0.767340165507717,0.738626155791498
44,"B_k25",0.322977387217715,0.313115258335101,0.350001116686355,0.358850956991089,0.678166080016654,0.657458248602955
45,"B_k25",0.384177865051311,0.354860823086768,0.362652417818474,0.391386259829276,0.72718531637526,0.671692992700324
46,"B_k25",0.412912348320847,0.402723974631715,0.371820811756713,0.38283250085134,0.743115414755257,0.724779471133156
47,"B_k25",0.396923108785942,0.380932339429074,0.39787150952705,0.413207266585092,0.706262512470968,0.677809442613511
48,"B_k25",0.455155995192161,0.413167757436484,0.386004830059371,0.430649640663309,0.762664630540342,0.692308655504895
49,"B_k25",0.377397587527699,0.351065143605939,0.371734507558043,0.396697300376609,0.712431813751969,0.66272277637683
50,"B_k25",0.419981865145149,0.397795475275238,0.389326160822535,0.411968914363888,0.733365282003183,0.694623780491071
51,"B_k25",0.48339265568629,0.466428640307559,0.388938927178851,0.409128674315699,0.779116546063216,0.751774498322594
52,"B_k25",0.349158426710796,0.339701547173074,0.365460994223311,0.374267556822748,0.690795866957218,0.672085812153409
53,"B_k25",0.349274933998527,0.35054717463429,0.384152366886054,0.382991773880001,0.67272078394925,0.6751711822875
54,"B_k25",0.51486835078833,0.488058578101031,0.365515258501385,0.40061159142345,0.815413836921449,0.772954323571151
55,"B_k25",0.438694504801355,0.426310233914991,0.400955800107217,0.414099029993878,0.73814302662344,0.717305375149495
56,"B_k25",0.335820856015908,0.324960802125887,0.365960645479365,0.375637216548935,0.676115027202375,0.654250257639275
57,"B_k25",0.482745027570025,0.453788647175022,0.379662941106886,0.413838826342549,0.786030897501295,0.738882592764026
58,"B_k25",0.466941488415742,0.464459368397925,0.393787479530354,0.396712021176796,0.76444832252051,0.760384745967583
59,"B_k25",0.407691275405701,0.390437732670911,0.380233894677929,0.397930103926145,0.731303927639785,0.700355059393593
60,"B_k25",0.327050288221717,0.32351616599453,0.36216076157379,0.365321226579863,0.670215541402883,0.662973157808736
61,"B_k25",0.401340748015814,0.402672304815748,0.367222084110636,0.365761493340709,0.737770625848507,0.740218380028707
62,"B_k25",0.368017142810104,0.349501338983589,0.379013521752736,0.396152345849678,0.696622617835647,0.661573903434824
63,"B_k25",0.377156745671484,0.360679590924265,0.377269075982744,0.393051395098762,0.707001488611721,0.676114137217198
64,"B_k25",0.295003822803931,0.294869398984794,0.367187118735671,0.367295076439479,0.626317243607632,0.626031850845339
65,"B_k25",0.390985272220489,0.379143613843284,0.371354980320643,0.383437249865124,0.725074463243664,0.703114341720405
66,"B_k25",0.439517238877535,0.410525656315159,0.390884012574908,0.42122962866375,0.747238745667555,0.697949134538415
67,"B_k25",0.397839793865348,0.398898111172457,0.417126507714841,0.416114553848154,0.690179388824,0.69201537608185
68,"B_k25",0.525600522075679,0.50995520925985,0.380684533657456,0.40140043288587,0.809885565968303,0.785778068938887
69,"B_k25",0.390224969225642,0.382356021479727,0.386322074271028,0.394111842646752,0.710651696534678,0.696321293545155
70,"B_k25",0.423617455614781,0.40137193079794,0.381736313089268,0.40506164296322,0.742874924872591,0.703864156175444
71,"B_k25",0.44396748049803,0.417849088354585,0.372944044048185,0.401990700255647,0.765695215273983,0.720649736104087
72,"B_k25",0.441975059017234,0.431962406090904,0.389707115666773,0.400776831314836,0.750065872210112,0.733073625482379
73,"B_k25",0.419698770718947,0.435344023956363,0.382882581422521,0.36499549326704,0.738766469701791,0.76630571762953
74,"B_k25",0.368951660132704,0.368731816663295,0.385519215108388,0.385729490851623,0.691412621165665,0.691000636166395
75,"B_k25",0.486371778144389,0.462869146171236,0.408530858895227,0.434979450971787,0.765721484223538,0.728720015293119
