"rep","cell","dep","rel","calm_hl","calm_edge","deg","rho_hat","grp"
51,"S_k25_sparse5","offindex",1.5,0.926056134610336,0.76947937288281,2,0.501554421109382,0.00954050453642208
52,"S_k25_sparse5","offindex",1.5,0.790323729709827,0.26930864770422,2,0.195531451458134,0.00124561737651363
53,"S_k25_sparse5","offindex",1.5,0.442932967013352,0.989712215443363,2,0.422198426582986,0.00268505425029053
54,"S_k25_sparse5","offindex",1.5,0.694246457561749,0.185626828044836,2,0.34615086109565,0.000118226686025569
55,"S_k25_sparse5","offindex",1.5,0.514900937852211,0.819534128685366,2,0.23283536719407,0.000408333383125292
56,"S_k25_sparse5","offindex",1.5,0.747393254534906,0.879743320738293,2,0.0991105487607989,0.00732400962739299
57,"S_k25_sparse5","offindex",1.5,0.488571196129097,0.956288717597889,2,0.108716773638812,0.00296275145852465
58,"S_k25_sparse5","offindex",1.5,0.691450980730395,0.670928744669715,2,0.229982335387273,0.000151890939956045
59,"S_k25_sparse5","offindex",1.5,0.927143493606983,0.459821067138912,2,0.0798580484465321,0.00675819439701031
60,"S_k25_sparse5","offindex",1.5,0.755084201826941,0.998072949105533,2,0.265693907647228,2.4665552131431e-05
61,"S_k25_sparse5","offindex",1.5,0.0112326850100393,0.011887930085633,2,0.216273565275482,7.01962235671871e-07
62,"S_k25_sparse5","offindex",1.5,0.925304846361444,0.919335968534123,2,0.147779889538198,0.00618010959861226
63,"S_k25_sparse5","offindex",1.5,0.804919542153141,0.17996513270309,2,0.310847601853887,0.000668763916676252
64,"S_k25_sparse5","offindex",1.5,0.947431173165255,0.9797212501365,2,0.21366742928289,0.00240464381213212
65,"S_k25_sparse5","offindex",1.5,0.73582198197693,0.174955361228912,2,0.218654647364894,0.000445496184147132
66,"S_k25_sparse5","offindex",1.5,0.29918541130932,0.640621783546528,2,0.315419271484934,0.000606310201432203
67,"S_k25_sparse5","offindex",1.5,0.568188505938978,0.204021198623219,2,0.0812976683048579,0.000310331290307664
68,"S_k25_sparse5","offindex",1.5,0.595178351659561,0.668709057620564,2,0.162645051571054,0.000409561164148586
69,"S_k25_sparse5","offindex",1.5,0.43098180632085,0.095188239623033,2,0.367590266896528,0.0114561911939672
