"rep","cell","dep","rel","deg","rho_hat","calm_hl","calm_edge","calm_e3","pp_hl","pp_edge"
106,"B_p160","index",0.4,2,0.605056304656954,0.42892088054935,0.288758643830913,0.390290434017617,0.3125,0.26
106,"B_p160","index",0.7,2,0.556368876621927,0.204079667891763,0.895780424264688,0.581418175076245,0.085,0.385
106,"B_p160","null",0,2,0.602061761944096,0.506743859470535,0.184925781793158,0.495472466154645,0.3775,0.3675
106,"B_p160","offindex",0.4,2,0.549413524078984,0.0683842014026748,0.170191694206796,0.164885875050582,0.0275,0.09
106,"B_p160","offindex",0.7,2,0.659148469447426,0.114953013263962,0.660726305340016,0.0276062219331608,0.055,0.01
106,"B_p40","index",0.4,2,0.743157370149282,0.173678970843408,0.703714029896252,0.871428849867472,0.1825,0.8525
106,"B_p40","index",0.7,2,0.758189290746694,0.671329269137004,0.927133451512681,0.864179708616744,0.6125,0.8525
106,"B_p40","null",0,2,0.733309082130976,0.371881143736966,0.480784154491163,0.622726469252579,0.3725,0.61
106,"B_p40","offindex",0.4,2,0.751378437789629,0.524425087808094,0.941003484321535,0.936446435830864,0.5225,0.94
106,"B_p40","offindex",0.7,2,0.759872421329297,0.869099617128265,0.707160817168013,0.66010606758021,0.84,0.5625
107,"A_p5","index",0.4,3,0.900099950057747,0.0435750816064662,0.987257566986874,0.987257566986874,0.0375,0.99
107,"A_p5","index",0.7,3,0.887386091088659,0.228433793081875,0.893205792692792,0.893205792692792,0.215,0.87
107,"A_p5","null",0,3,0.924861969917496,0.923403473995339,0.396638655841956,0.396638655841956,0.9325,0.36
107,"A_p5","offindex",0.4,3,0.903180238474892,0.306165240909994,0.226660146440581,0.226660146440581,0.3275,0.21
107,"A_p5","offindex",0.7,3,0.90154936414141,0.172866986321545,0.00883593583326014,0.00883593583326014,0.1775,0.0075
107,"B_p100","index",0.4,2,0.589305880676269,0.456114966008722,0.422937881611405,0.760528137429958,0.3475,0.6525
107,"B_p100","index",0.7,2,0.584161973706906,0.941950977323976,0.511652417359759,0.805520279915352,0.905,0.695
107,"B_p100","null",0,2,0.636970650761727,0.270269874548792,0.0350229545947197,0.0336537436523942,0.215,0.015
107,"B_p100","offindex",0.4,2,0.610982070901331,0.181386479092121,0.0518760969919819,0.210182446941706,0.1675,0.135
107,"B_p100","offindex",0.7,2,0.592642464973967,0.193582297369757,0.637119268158564,0.142655258713862,0.1925,0.1125
107,"B_p160","index",0.4,2,0.576154880753905,0.228804410635905,0.0171287789787899,0.0739691673260215,0.1275,0.0225
107,"B_p160","index",0.7,2,0.43721347373472,0.127977073657232,0.183416968548346,0.0623218067007552,0.065,0.015
107,"B_p160","null",0,2,0.700864300337327,0.98311532917131,0.340634925432883,0.653384998704337,0.975,0.59
107,"B_p160","offindex",0.4,2,0.676245598041923,0.695521571464649,0.321591824522873,0.540356600407793,0.645,0.46
107,"B_p160","offindex",0.7,2,0.705756476223845,0.807225723649283,0.515664243476321,0.833399730901197,0.7875,0.8
107,"B_p40","index",0.4,2,0.727198578377919,0.311282613232061,0.961180601871015,0.666720911726891,0.3325,0.63
107,"B_p40","index",0.7,2,0.727125244802309,0.198208463671299,0.812521821816024,0.942432142787481,0.1675,0.975
107,"B_p40","null",0,2,0.723989367486077,0.696147878048728,0.979411594853071,0.446515251012692,0.7525,0.4425
107,"B_p40","offindex",0.4,2,0.714847328942022,0.468696786229801,0.879929452576473,0.684530959530967,0.5,0.6675
107,"B_p40","offindex",0.7,2,0.745786073522299,0.864294964289568,0.671147615354695,0.903067004166528,0.865,0.905
108,"A_p5","index",0.4,3,0.9046819591459,0.835442291361621,0.855587660379426,0.855587660379426,0.855,0.84
108,"A_p5","index",0.7,3,0.882477398581033,0.424475149185474,0.50275105211471,0.50275105211471,0.4375,0.4425
108,"A_p5","null",0,3,0.937558666203938,0.295364354743297,0.872782910384684,0.872782910384684,0.29,0.875
108,"A_p5","offindex",0.4,3,0.927464767597842,0.867398876488671,0.389341447257947,0.389341447257947,0.8725,0.3325
108,"A_p5","offindex",0.7,3,0.927810088386922,0.662162222358941,0.363536107433007,0.363536107433007,0.65,0.315
108,"B_p100","index",0.4,2,0.669738497138236,0.309126787600826,0.840107930968788,0.74644256580617,0.205,0.695
108,"B_p100","index",0.7,2,0.66179885062747,0.167781920211051,0.409496867556732,0.75598543033923,0.0875,0.68
108,"B_p100","null",0,2,0.688349249177762,0.714754691311067,0.457452298848513,0.482998996155631,0.71,0.405
108,"B_p100","offindex",0.4,2,0.582146791197685,0.277231231210123,0.276604366839203,0.623846880036622,0.27,0.5275
108,"B_p100","offindex",0.7,2,0.50806734150214,0.877898515636364,0.439180745842659,0.497386578170335,0.8575,0.3875
108,"B_p160","index",0.4,3,0.772550069860279,0.485336597217291,0.829853546353039,0.829853546353039,0.385,0.8
